IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.114.201,443,TRUE,SIN,Asia Pacific,Singapore,78,35.19 
8.222.204.128,443,TRUE,SIN,Asia Pacific,Singapore,69,25.96 
8.219.144.168,443,TRUE,SIN,Asia Pacific,Singapore,70,25.89 
8.219.70.151,443,TRUE,SIN,Asia Pacific,Singapore,72,22.42 
144.24.83.39,443,TRUE,NRT,Asia Pacific,Tokyo,57,18.53 
158.180.68.56,443,TRUE,NRT,Asia Pacific,Tokyo,87,13.41 
144.24.80.56,443,TRUE,NRT,Asia Pacific,Tokyo,49,13.28 
146.56.44.85,443,TRUE,NRT,Asia Pacific,Tokyo,86,12.86 
130.162.38.132,443,TRUE,FRA,Europe,Frankfurt,155,10.81 
130.61.133.138,443,TRUE,FRA,Europe,Frankfurt,165,10.78 
141.148.237.1,443,TRUE,FRA,Europe,Frankfurt,176,10.52 
130.162.42.199,443,TRUE,FRA,Europe,Frankfurt,160,10.39 
141.148.240.73,443,TRUE,FRA,Europe,Frankfurt,179,10.14 
150.230.112.232,443,TRUE,FRA,Europe,Frankfurt,199,9.62 
158.101.217.208,443,TRUE,FRA,Europe,Frankfurt,178,9.45 
132.145.65.53,443,TRUE,FRA,Europe,Frankfurt,184,9.36 
158.180.231.216,443,TRUE,MRS,Europe,Marseille,200,9.33 
141.144.198.160,443,TRUE,FRA,Europe,Frankfurt,161,9.21 
143.47.242.195,443,TRUE,LHR,Europe,London,186,9.20 
129.151.221.152,443,TRUE,ARN,Europe,Stockholm,195,9.19 
144.24.243.207,443,TRUE,ZRH,Europe,Zurich,172,9.16 
141.147.68.43,443,TRUE,FRA,Europe,Frankfurt,180,9.15 
129.146.254.39,443,TRUE,LAX,North America,Los Angeles,187,9.14 
144.21.54.249,443,TRUE,FRA,Europe,Frankfurt,201,9.07 
130.162.184.173,443,TRUE,LHR,Europe,London,171,8.97 
129.153.119.97,443,TRUE,LAX,North America,Los Angeles,185,8.92 
144.21.51.110,443,TRUE,LHR,Europe,London,183,8.74 
158.101.203.210,443,TRUE,FRA,Europe,Frankfurt,176,8.70 
141.147.107.161,443,TRUE,FRA,Europe,Frankfurt,190,8.64 
141.148.244.33,443,TRUE,FRA,Europe,Frankfurt,231,8.55 
141.147.97.37,443,TRUE,LHR,Europe,London,189,8.45 
204.216.218.114,443,TRUE,MXP,Europe,Milan,201,8.45 
143.47.240.217,443,TRUE,FRA,Europe,Frankfurt,197,8.24 
129.146.7.98,443,TRUE,LAX,North America,Los Angeles,231,8.18 
130.162.182.76,443,TRUE,LHR,Europe,London,174,8.17 
129.146.133.33,443,TRUE,LAX,North America,Los Angeles,218,7.96 
140.238.158.238,443,TRUE,YYZ,North America,Toronto,241,7.64 
141.148.225.142,443,TRUE,AMS,Europe,Amsterdam,262,7.49 
47.254.175.250,443,TRUE,FRA,Europe,Frankfurt,249,7.35 
168.138.66.11,443,TRUE,YYZ,North America,Toronto,262,7.30 
8.209.90.206,443,TRUE,FRA,Europe,Frankfurt,255,7.27 
141.148.229.106,443,TRUE,AMS,Europe,Amsterdam,262,7.17 
132.145.134.230,443,TRUE,IAD,North America,Ashburn,234,7.09 
150.136.241.40,443,TRUE,IAD,North America,Ashburn,240,7.02 
144.24.200.164,443,TRUE,MRS,Europe,Marseille,273,6.90 
8.209.70.62,443,TRUE,FRA,Europe,Frankfurt,256,6.77 
8.211.49.43,443,TRUE,FRA,Europe,Frankfurt,256,6.72 
129.159.241.172,443,TRUE,FRA,Europe,Frankfurt,264,6.64 
140.238.40.67,443,TRUE,NRT,Asia Pacific,Tokyo,154,6.39 
138.3.254.39,443,TRUE,FRA,Europe,Frankfurt,277,6.27 
168.138.46.67,443,TRUE,KIX,Asia Pacific,Osaka,296,6.02 
150.230.6.108,443,TRUE,KIX,Asia Pacific,Osaka,294,5.79 
140.83.61.244,443,TRUE,HKG,Asia Pacific,Hong Kong,279,5.74 
144.22.252.124,443,TRUE,GRU,South America,S?o Paulo,316,5.31 
152.67.44.30,443,TRUE,GIG,South America,Rio de Janeiro,354,4.98 
47.253.86.6,443,TRUE,IAD,North America,Ashburn,228,4.96 
158.101.87.89,443,TRUE,SIN,Asia Pacific,Singapore,224,4.90 
8.211.12.247,443,TRUE,FRA,Europe,Frankfurt,266,4.67 
192.9.180.162,443,TRUE,SYD,Oceania,Sydney,356,4.46 
131.186.33.175,443,TRUE,NRT,Asia Pacific,Tokyo,162,4.43 
47.90.141.204,443,TRUE,LAX,North America,Los Angeles,252,4.34 
138.2.99.97,443,TRUE,SIN,Asia Pacific,Singapore,292,4.10 
168.138.201.0,443,TRUE,NRT,Asia Pacific,Tokyo,161,4.08 
168.138.13.201,443,TRUE,MEL,Oceania,Melbourne,388,4.06 
129.159.84.71,443,TRUE,IAD,North America,Ashburn,247,3.67 
47.253.105.131,443,TRUE,IAD,North America,Ashburn,241,3.17 
132.226.2.3,443,TRUE,SIN,Asia Pacific,Singapore,231,3.07 
144.24.85.158,443,TRUE,ICN,Asia Pacific,Seoul,56,0.50 
144.24.78.162,443,TRUE,ICN,Asia Pacific,Seoul,58,0.44 
132.145.81.117,443,TRUE,ICN,Asia Pacific,Seoul,71,0.00 
192.18.143.199,443,TRUE,SJC,North America,San Jose,158,0.00 
155.248.206.110,443,TRUE,SJC,North America,San Jose,192,0.00 
