IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
91.195.110.162,8443,TRUE,91.195.110.162,North America,Seattle,156,2.72
45.80.111.241,8443,TRUE,45.80.111.241,North America,Seattle,117,1.65
185.146.173.115,8443,TRUE,185.146.173.115,Asia Pacific,Hong Kong,40,1.54
193.227.99.184,8443,TRUE,193.227.99.184,North America,Seattle,150,1.15
194.87.58.47,8443,TRUE,194.87.58.47,North America,Seattle,186,1.14
188.42.89.231,8443,TRUE,188.42.89.231,North America,Seattle,195,1.07
205.233.181.99,8443,TRUE,205.233.181.99,North America,Seattle,187,1.07
188.244.122.195,8443,TRUE,188.244.122.195,North America,Seattle,185,0.89
45.133.247.231,8443,TRUE,45.133.247.231,North America,Seattle,195,0.87
185.148.105.212,8443,TRUE,185.148.105.212,North America,Seattle,188,0.82
185.135.9.88,8443,TRUE,185.135.9.88,North America,Seattle,179,0.79
89.116.250.74,8443,TRUE,89.116.250.74,North America,Seattle,151,0.75
91.193.58.117,8443,TRUE,91.193.58.117,North America,Seattle,183,0.74
45.159.219.34,8443,TRUE,45.159.219.34,North America,Los Angeles,208,0.71
194.87.59.132,8443,TRUE,194.87.59.132,North America,Seattle,179,0.66
194.36.55.163,8443,TRUE,194.36.55.163,North America,Seattle,181,0.66
185.221.160.245,8443,TRUE,185.221.160.245,North America,Seattle,181,0.61
45.159.219.153,8443,TRUE,45.159.219.153,North America,Seattle,150,0.58
185.238.228.150,8443,TRUE,185.238.228.150,North America,Los Angeles,234,0.56
23.227.60.228,8443,TRUE,23.227.60.228,North America,Los Angeles,246,0.55
185.148.106.153,8443,TRUE,185.148.106.153,North America,Los Angeles,234,0.44
154.83.2.210,8443,TRUE,154.83.2.210,North America,Seattle,177,0.37
194.87.59.181,8443,TRUE,194.87.59.181,North America,Seattle,136,0.24
185.148.105.93,8443,TRUE,185.148.105.93,North America,Los Angeles,209,0.15
164.38.155.35,8443,TRUE,164.38.155.35,North America,Seattle,182,0.14
31.22.116.27,8443,TRUE,31.22.116.27,North America,Los Angeles,235,0.13
193.9.49.87,8443,TRUE,193.9.49.87,North America,Seattle,183,0.11
185.176.24.171,8443,TRUE,185.176.24.171,North America,Seattle,181,0.09
104.254.140.219,8443,TRUE,104.254.140.219,North America,Seattle,181,0.05
45.159.217.109,8443,TRUE,45.159.217.109,North America,Seattle,147,0
170.114.45.64,8443,TRUE,170.114.45.64,North America,Seattle,153,0
45.159.217.3,8443,TRUE,45.159.217.3,North America,Seattle,182,0
168.100.6.154,8443,TRUE,168.100.6.154,North America,Seattle,181,0
159.246.55.135,8443,TRUE,159.246.55.135,North America,Seattle,181,0
45.142.120.123,8443,TRUE,45.142.120.123,North America,Seattle,151,0
45.159.218.49,8443,TRUE,45.159.218.49,North America,Seattle,151,0
185.176.26.221,8443,TRUE,185.176.26.221,North America,Los Angeles,208,0
66.235.200.203,8443,TRUE,66.235.200.203,North America,Los Angeles,218,0
185.109.21.134,8443,TRUE,185.109.21.134,North America,Seattle,151,0
185.148.104.186,8443,TRUE,185.148.104.186,North America,Seattle,119,0
216.116.134.60,8443,TRUE,216.116.134.60,North America,Seattle,189,0
199.181.197.118,8443,TRUE,199.181.197.118,North America,Seattle,181,0
103.169.142.111,8443,TRUE,103.169.142.111,North America,Los Angeles,235,0
192.65.217.177,8443,TRUE,192.65.217.177,North America,Seattle,181,0
45.8.211.152,8443,TRUE,45.8.211.152,North America,Los Angeles,206,0
170.114.46.201,8443,TRUE,170.114.46.201,North America,Los Angeles,206,0
