IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.243.14,8443,TRUE,HKG,Asia Pacific,Hong Kong,59,21.78 
47.243.90.180,2053,TRUE,HKG,Asia Pacific,Hong Kong,66,20.99 
8.210.42.171,2096,TRUE,HKG,Asia Pacific,Hong Kong,58,20.02 
47.243.243.14,2053,TRUE,HKG,Asia Pacific,Hong Kong,62,18.54 
47.243.243.14,2096,TRUE,HKG,Asia Pacific,Hong Kong,62,17.61 
47.243.90.180,2096,TRUE,HKG,Asia Pacific,Hong Kong,62,17.08 
47.243.90.180,2087,TRUE,HKG,Asia Pacific,Hong Kong,55,14.54 
8.210.42.171,2087,TRUE,HKG,Asia Pacific,Hong Kong,62,13.34 
47.243.243.14,2087,TRUE,HKG,Asia Pacific,Hong Kong,59,12.42 
8.210.42.171,2053,TRUE,HKG,Asia Pacific,Hong Kong,63,12.35 
47.242.174.27,2087,TRUE,HKG,Asia Pacific,Hong Kong,46,6.58 
193.123.250.209,2087,TRUE,HKG,Asia Pacific,Hong Kong,87,5.73 
8.217.147.230,8443,TRUE,HKG,Asia Pacific,Hong Kong,59,3.23 
47.242.174.27,2083,TRUE,HKG,Asia Pacific,Hong Kong,62,2.32 
8.210.192.93,2096,TRUE,HKG,Asia Pacific,Hong Kong,562,2.03 
8.217.147.230,2096,TRUE,HKG,Asia Pacific,Hong Kong,57,1.86 
47.242.174.27,2096,TRUE,HKG,Asia Pacific,Hong Kong,58,0.84 
8.217.147.230,2087,TRUE,HKG,Asia Pacific,Hong Kong,56,0.83 
47.243.169.90,2083,TRUE,HKG,Asia Pacific,Hong Kong,57,0.03 
47.243.169.90,2053,TRUE,HKG,Asia Pacific,Hong Kong,59,0.03 
8.210.126.88,2083,TRUE,HKG,Asia Pacific,Hong Kong,62,0.03 
8.210.126.88,2053,TRUE,HKG,Asia Pacific,Hong Kong,58,0.03 
8.210.126.88,2096,TRUE,HKG,Asia Pacific,Hong Kong,57,0.03 
47.243.120.239,2053,TRUE,HKG,Asia Pacific,Hong Kong,66,0.03 
47.243.169.90,8443,TRUE,HKG,Asia Pacific,Hong Kong,58,0.03 
47.243.198.198,2096,TRUE,HKG,Asia Pacific,Hong Kong,61,0.03 
47.243.169.90,2096,TRUE,HKG,Asia Pacific,Hong Kong,56,0.03 
47.243.198.198,2087,TRUE,HKG,Asia Pacific,Hong Kong,46,0.03 
47.243.120.239,2083,TRUE,HKG,Asia Pacific,Hong Kong,59,0.03 
47.243.120.239,2096,TRUE,HKG,Asia Pacific,Hong Kong,62,0.03 
47.243.169.90,2087,TRUE,HKG,Asia Pacific,Hong Kong,62,0.03 
47.243.198.198,8443,TRUE,HKG,Asia Pacific,Hong Kong,59,0.03 
