IP地址,端口,TLS,数据中心,地区,城市,延迟(ms),速度(MB/s)
104.25.68.100,80,FALSE,LAX,North America,Los Angeles,183,18.18
104.27.70.157,8080,FALSE,LAX,North America,Los Angeles,175,17.68
188.114.99.148,2095,FALSE,LAX,North America,Los Angeles,177,17.25
162.159.61.48,8080,FALSE,LAX,North America,Los Angeles,184,17.22
198.41.204.228,2095,FALSE,LAX,North America,Los Angeles,168,17.2
104.27.57.69,2095,FALSE,LAX,North America,Los Angeles,170,17.17
104.18.8.147,8080,FALSE,LAX,North America,Los Angeles,180,17.16
104.21.219.216,2095,FALSE,LAX,North America,Los Angeles,170,17.14
104.23.117.28,2095,FALSE,LAX,North America,Los Angeles,173,17.08
104.25.88.173,2095,FALSE,LAX,North America,Los Angeles,177,17.05
104.25.85.250,2095,FALSE,LAX,North America,Los Angeles,175,17.03
104.27.60.67,8080,FALSE,LAX,North America,Los Angeles,181,16.97
104.18.10.36,8080,FALSE,LAX,North America,Los Angeles,182,16.93
104.24.71.209,2095,FALSE,LAX,North America,Los Angeles,180,16.81
104.22.9.192,2095,FALSE,LAX,North America,Los Angeles,171,16.8
104.23.139.150,2095,FALSE,LAX,North America,Los Angeles,182,16.79
104.27.23.54,2095,FALSE,LAX,North America,Los Angeles,172,16.79
162.159.82.13,8080,FALSE,LAX,North America,Los Angeles,185,16.78
104.24.243.157,2095,FALSE,LAX,North America,Los Angeles,174,16.77
104.18.14.254,8080,FALSE,LAX,North America,Los Angeles,181,16.76
104.25.44.123,2095,FALSE,LAX,North America,Los Angeles,173,16.74
104.25.107.238,2095,FALSE,LAX,North America,Los Angeles,175,16.73
104.27.194.229,2095,FALSE,LAX,North America,Los Angeles,171,16.65
104.25.98.125,2095,FALSE,LAX,North America,Los Angeles,177,16.62
104.22.59.242,2095,FALSE,LAX,North America,Los Angeles,178,16.59
104.27.70.159,2095,FALSE,LAX,North America,Los Angeles,178,16.59
104.27.105.48,2095,FALSE,LAX,North America,Los Angeles,194,16.57
104.24.31.113,2095,FALSE,LAX,North America,Los Angeles,177,16.54
104.25.89.35,2095,FALSE,LAX,North America,Los Angeles,175,16.53
104.22.2.178,2095,FALSE,LAX,North America,Los Angeles,176,16.5
104.27.83.176,2095,FALSE,LAX,North America,Los Angeles,174,16.5
104.24.61.182,2095,FALSE,LAX,North America,Los Angeles,173,16.5
104.24.94.92,2095,FALSE,LAX,North America,Los Angeles,179,16.48
104.23.131.75,2095,FALSE,LAX,North America,Los Angeles,175,16.48
104.27.25.216,2095,FALSE,LAX,North America,Los Angeles,178,16.46
162.159.58.106,8080,FALSE,LAX,North America,Los Angeles,192,16.45
104.24.3.164,2095,FALSE,LAX,North America,Los Angeles,179,16.45
104.24.246.52,2095,FALSE,LAX,North America,Los Angeles,175,16.41
104.24.241.15,2095,FALSE,LAX,North America,Los Angeles,176,16.41
104.27.78.23,2095,FALSE,LAX,North America,Los Angeles,173,16.41
104.27.127.120,2095,FALSE,LAX,North America,Los Angeles,179,16.38
104.23.111.38,2095,FALSE,LAX,North America,Los Angeles,182,16.35
104.25.91.207,2095,FALSE,LAX,North America,Los Angeles,180,16.31
104.27.37.212,2095,FALSE,LAX,North America,Los Angeles,179,16.31
104.24.76.0,2095,FALSE,LAX,North America,Los Angeles,186,16.31
173.245.59.104,2095,FALSE,LAX,North America,Los Angeles,180,16.31
