IP地址,端口,TLS,数据中心,地区,城市,延迟(ms),速度(MB/s)
104.16.100.197,80,FALSE,SJC,North America,San Jose,133,24.7
104.16.103.231,80,FALSE,SJC,North America,San Jose,133,24.69
104.17.255.240,80,FALSE,SJC,North America,San Jose,130,24.67
104.16.204.192,8080,FALSE,SJC,North America,San Jose,125,24.65
104.17.195.9,8080,FALSE,SJC,North America,San Jose,127,24.65
104.16.252.219,8080,FALSE,SJC,North America,San Jose,127,24.65
104.17.126.15,80,FALSE,SJC,North America,San Jose,126,24.64
104.16.150.192,8080,FALSE,SJC,North America,San Jose,125,24.64
104.17.124.47,8080,FALSE,SJC,North America,San Jose,126,24.62
198.41.219.85,8080,FALSE,SJC,North America,San Jose,125,24.6
104.16.155.18,8080,FALSE,SJC,North America,San Jose,125,24.56
104.17.193.193,80,FALSE,SJC,North America,San Jose,126,24.56
104.16.141.56,80,FALSE,SJC,North America,San Jose,126,24.56
104.17.31.8,80,FALSE,SJC,North America,San Jose,137,24.54
104.17.30.238,80,FALSE,SJC,North America,San Jose,135,24.54
104.17.201.118,8080,FALSE,SJC,North America,San Jose,124,24.53
104.18.68.108,80,FALSE,SJC,North America,San Jose,130,24.53
104.16.212.212,8080,FALSE,SJC,North America,San Jose,126,24.52
104.17.98.133,80,FALSE,SJC,North America,San Jose,128,24.41
104.16.124.216,80,FALSE,SJC,North America,San Jose,129,24.33
104.17.196.21,8080,FALSE,SJC,North America,San Jose,135,23.8
104.17.133.178,8080,FALSE,SJC,North America,San Jose,136,23.7
104.16.147.66,8080,FALSE,SJC,North America,San Jose,130,23.68
104.16.160.63,80,FALSE,SJC,North America,San Jose,133,23.68
104.17.130.176,8080,FALSE,SJC,North America,San Jose,134,23.67
198.41.209.76,8080,FALSE,SJC,North America,San Jose,132,23.64
104.17.23.7,8080,FALSE,SJC,North America,San Jose,136,23.58
104.17.103.137,80,FALSE,SJC,North America,San Jose,141,23.56
104.17.215.153,8080,FALSE,SJC,North America,San Jose,139,23.55
104.16.230.192,8080,FALSE,SJC,North America,San Jose,129,23.54
104.16.153.131,8080,FALSE,SJC,North America,San Jose,130,23.54
104.17.230.4,80,FALSE,SJC,North America,San Jose,133,23.54
104.17.204.106,8080,FALSE,SJC,North America,San Jose,133,23.52
104.19.236.44,80,FALSE,SJC,North America,San Jose,133,23.49
104.16.213.45,80,FALSE,SJC,North America,San Jose,141,23.49
141.101.114.100,8080,FALSE,SJC,North America,San Jose,132,23.49
104.17.155.166,8080,FALSE,SJC,North America,San Jose,130,23.41
104.19.221.249,2082,FALSE,SJC,North America,San Jose,125,23.37
104.17.228.18,80,FALSE,SJC,North America,San Jose,133,23.36
104.17.219.220,80,FALSE,SJC,North America,San Jose,133,23.33
198.41.209.70,2082,FALSE,SJC,North America,San Jose,126,23.32
104.16.186.207,80,FALSE,SJC,North America,San Jose,134,23.26
104.18.78.133,2052,FALSE,SJC,North America,San Jose,135,23.24
104.17.237.241,8080,FALSE,SJC,North America,San Jose,137,23.18
104.16.73.252,80,FALSE,SJC,North America,San Jose,137,23.17
104.17.91.35,8080,FALSE,SJC,North America,San Jose,143,23.15
104.17.181.153,8080,FALSE,SJC,North America,San Jose,143,23.14
104.18.73.46,8880,FALSE,SJC,North America,San Jose,127,23.14
104.17.190.81,8080,FALSE,SJC,North America,San Jose,149,23.13
104.17.82.15,80,FALSE,SJC,North America,San Jose,144,23.11
104.17.242.1,8080,FALSE,SJC,North America,San Jose,137,23.1
104.17.129.32,8080,FALSE,SJC,North America,San Jose,139,23.09
104.18.247.89,80,FALSE,SJC,North America,San Jose,145,23.09
104.17.221.47,8080,FALSE,SJC,North America,San Jose,134,23.07
104.16.127.229,8080,FALSE,SJC,North America,San Jose,135,23.06
104.16.83.137,80,FALSE,SJC,North America,San Jose,141,23.06
104.16.159.19,2082,FALSE,SJC,North America,San Jose,124,23.06
104.17.117.26,8080,FALSE,SJC,North America,San Jose,140,23.06
104.19.173.101,80,FALSE,SJC,North America,San Jose,139,23.05
104.19.178.101,80,FALSE,SJC,North America,San Jose,141,23.05
104.19.170.94,80,FALSE,SJC,North America,San Jose,139,23.04
104.16.159.103,8080,FALSE,SJC,North America,San Jose,148,23
104.17.41.108,2086,FALSE,SJC,North America,San Jose,129,23
104.16.188.227,8880,FALSE,SJC,North America,San Jose,126,22.94
104.16.131.209,8080,FALSE,SJC,North America,San Jose,139,22.93
104.16.73.194,2052,FALSE,SJC,North America,San Jose,125,22.88
104.17.50.55,2082,FALSE,SJC,North America,San Jose,126,22.87
104.16.239.248,8880,FALSE,SJC,North America,San Jose,126,22.83
104.17.152.235,80,FALSE,SJC,North America,San Jose,143,22.69
104.16.229.246,8080,FALSE,SJC,North America,San Jose,140,22.67
104.16.222.223,8080,FALSE,SJC,North America,San Jose,139,22.6
104.16.210.244,8080,FALSE,SJC,North America,San Jose,145,22.58
104.17.64.175,8080,FALSE,SJC,North America,San Jose,136,22.54
104.18.166.27,2086,FALSE,SJC,North America,San Jose,126,22.51
104.16.165.120,80,FALSE,SJC,North America,San Jose,150,22.5
104.19.182.146,8880,FALSE,SJC,North America,San Jose,134,22.5
104.16.57.175,2086,FALSE,SJC,North America,San Jose,130,22.48
104.18.112.185,80,FALSE,SJC,North America,San Jose,146,22.47
104.17.94.33,8080,FALSE,SJC,North America,San Jose,145,22.47
104.16.238.120,2082,FALSE,SJC,North America,San Jose,131,22.43
104.16.120.126,8080,FALSE,SJC,North America,San Jose,140,22.41
104.17.37.83,8880,FALSE,SJC,North America,San Jose,136,22.39
104.16.236.16,2086,FALSE,SJC,North America,San Jose,133,22.39
104.18.199.80,2082,FALSE,SJC,North America,San Jose,145,22.39
104.17.95.41,2082,FALSE,SJC,North America,San Jose,130,22.37
104.17.239.92,2082,FALSE,SJC,North America,San Jose,130,22.37
104.17.45.95,2086,FALSE,SJC,North America,San Jose,132,22.31
104.19.186.5,2052,FALSE,SJC,North America,San Jose,126,22.3
104.19.183.177,8880,FALSE,SJC,North America,San Jose,142,22.28
104.18.97.249,2052,FALSE,SJC,North America,San Jose,156,22.25
190.93.244.243,2082,FALSE,SJC,North America,San Jose,133,22.25
104.18.169.201,8880,FALSE,SJC,North America,San Jose,139,22.24
104.19.240.195,2082,FALSE,SJC,North America,San Jose,132,22.24
104.16.203.47,8880,FALSE,SJC,North America,San Jose,129,22.23
104.16.211.84,2086,FALSE,SJC,North America,San Jose,147,22.2
104.16.176.166,2082,FALSE,SJC,North America,San Jose,131,22.18
104.19.212.9,8880,FALSE,SJC,North America,San Jose,139,22.17
104.17.177.25,8080,FALSE,SJC,North America,San Jose,141,22.16
104.17.65.153,8080,FALSE,SJC,North America,San Jose,148,22.16
104.16.77.216,80,FALSE,SJC,North America,San Jose,143,22.15
104.19.162.199,8880,FALSE,SJC,North America,San Jose,135,22.14
104.21.238.185,2082,FALSE,SJC,North America,San Jose,124,22.14
104.21.236.203,2095,FALSE,SJC,North America,San Jose,133,22.13
104.21.225.138,2082,FALSE,SJC,North America,San Jose,138,22.12
104.18.123.127,8880,FALSE,SJC,North America,San Jose,130,22.12
104.18.166.123,2052,FALSE,SJC,North America,San Jose,141,22.11
104.16.79.49,80,FALSE,SJC,North America,San Jose,145,22.1
104.16.177.152,80,FALSE,SJC,North America,San Jose,146,22.09
104.18.94.56,2086,FALSE,SJC,North America,San Jose,131,22.07
104.16.25.229,2082,FALSE,SJC,North America,San Jose,134,22.06
