IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.204.128,443,TRUE,SIN,Asia Pacific,Singapore,64,25.63 
47.242.157.96,2087,TRUE,HKG,Asia Pacific,Hong Kong,68,25.53 
8.219.0.162,2083,TRUE,SIN,Asia Pacific,Singapore,69,24.66 
47.242.157.96,8443,TRUE,HKG,Asia Pacific,Hong Kong,67,24.44 
47.243.169.63,8443,TRUE,HKG,Asia Pacific,Hong Kong,67,24.25 
47.242.157.96,2096,TRUE,HKG,Asia Pacific,Hong Kong,66,21.67 
47.243.243.14,8443,TRUE,HKG,Asia Pacific,Hong Kong,59,21.44 
47.242.174.27,8443,TRUE,HKG,Asia Pacific,Hong Kong,68,20.52 
8.217.232.246,2087,TRUE,HKG,Asia Pacific,Hong Kong,68,20.41 
8.219.42.72,2096,TRUE,SIN,Asia Pacific,Singapore,83,20.34 
47.243.206.150,8443,TRUE,HKG,Asia Pacific,Hong Kong,69,19.91 
8.210.48.107,2096,TRUE,HKG,Asia Pacific,Hong Kong,66,19.49 
8.210.48.107,2053,TRUE,HKG,Asia Pacific,Hong Kong,70,19.42 
47.243.169.63,2096,TRUE,HKG,Asia Pacific,Hong Kong,68,18.99 
47.243.206.150,2083,TRUE,HKG,Asia Pacific,Hong Kong,66,17.95 
47.243.243.14,2096,TRUE,HKG,Asia Pacific,Hong Kong,65,17.67 
47.242.174.27,2053,TRUE,HKG,Asia Pacific,Hong Kong,68,17.20 
8.219.0.162,2096,TRUE,SIN,Asia Pacific,Singapore,75,16.41 
47.243.26.83,8443,TRUE,HKG,Asia Pacific,Hong Kong,64,15.83 
8.217.147.230,2096,TRUE,HKG,Asia Pacific,Hong Kong,62,15.13 
8.210.48.107,2083,TRUE,HKG,Asia Pacific,Hong Kong,63,15.11 
8.219.42.72,2083,TRUE,SIN,Asia Pacific,Singapore,82,14.93 
8.219.42.72,2053,TRUE,SIN,Asia Pacific,Singapore,87,14.61 
47.242.157.96,2053,TRUE,HKG,Asia Pacific,Hong Kong,66,14.59 
140.238.12.52,8443,TRUE,ICN,Asia Pacific,Seoul,102,14.49 
8.210.48.107,2087,TRUE,HKG,Asia Pacific,Hong Kong,64,14.47 
8.217.85.14,8443,TRUE,HKG,Asia Pacific,Hong Kong,63,14.39 
8.219.98.13,2087,TRUE,SIN,Asia Pacific,Singapore,866,14.35 
8.219.0.162,2087,TRUE,SIN,Asia Pacific,Singapore,145,14.07 
8.219.98.13,2083,TRUE,SIN,Asia Pacific,Singapore,73,13.81 
158.180.68.56,443,TRUE,NRT,Asia Pacific,Tokyo,87,13.70 
47.243.169.63,2087,TRUE,HKG,Asia Pacific,Hong Kong,71,13.69 
47.243.169.63,2053,TRUE,HKG,Asia Pacific,Hong Kong,64,13.65 
144.24.80.56,443,TRUE,NRT,Asia Pacific,Tokyo,55,13.65 
8.217.232.246,2083,TRUE,HKG,Asia Pacific,Hong Kong,62,13.52 
47.242.174.27,2096,TRUE,HKG,Asia Pacific,Hong Kong,66,13.08 
47.243.243.14,2053,TRUE,HKG,Asia Pacific,Hong Kong,66,12.93 
8.219.0.162,2053,TRUE,SIN,Asia Pacific,Singapore,72,12.80 
47.242.79.71,8443,TRUE,HKG,Asia Pacific,Hong Kong,153,12.76 
47.242.174.27,2083,TRUE,HKG,Asia Pacific,Hong Kong,67,12.49 
47.242.174.27,2087,TRUE,HKG,Asia Pacific,Hong Kong,64,12.45 
