IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.255.224,2053,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,36666 kB/s
8.219.104.37,2053,TRUE,SIN,Asia Pacific,Singapore,73 ms,36324 kB/s
8.219.67.133,8443,TRUE,SIN,Asia Pacific,Singapore,71 ms,36227 kB/s
8.222.208.38,2083,TRUE,SIN,Asia Pacific,Singapore,73 ms,36167 kB/s
8.218.143.10,2053,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,35542 kB/s
8.210.101.157,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,34824 kB/s
8.219.0.162,2053,TRUE,SIN,Asia Pacific,Singapore,67 ms,34629 kB/s
47.243.234.9,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,34507 kB/s
47.242.125.241,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,34158 kB/s
47.242.54.157,2083,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,33882 kB/s
8.222.137.192,2096,TRUE,SIN,Asia Pacific,Singapore,73 ms,33603 kB/s
8.219.0.48,2053,TRUE,SIN,Asia Pacific,Singapore,74 ms,32713 kB/s
8.219.77.222,2053,TRUE,SIN,Asia Pacific,Singapore,78 ms,32053 kB/s
47.243.173.187,8443,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,30690 kB/s
8.210.34.188,2053,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,30400 kB/s
8.217.232.246,2053,TRUE,HKG,Asia Pacific,Hong Kong,59 ms,30248 kB/s
8.210.175.109,8443,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,30240 kB/s
8.210.174.156,8443,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,29498 kB/s
8.210.174.156,2053,TRUE,HKG,Asia Pacific,Hong Kong,63 ms,28509 kB/s
8.210.107.246,2053,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,28436 kB/s
