﻿IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.237.131,2083,true,SIN,Asia Pacific,Singapore,75 ms,24137 kB/s
129.150.37.203,443,true,SIN,Asia Pacific,Singapore,89 ms,23387 kB/s
146.56.146.67,443,true,NRT,Asia Pacific,Tokyo,74 ms,21010 kB/s
47.245.33.33,443,true,NRT,Asia Pacific,Tokyo,32 ms,19405 kB/s
8.219.144.168,443,true,SIN,Asia Pacific,Singapore,60 ms,18713 kB/s
64.110.86.92,2083,true,NRT,Asia Pacific,Tokyo,95 ms,16689 kB/s
168.138.165.174,443,true,SIN,Asia Pacific,Singapore,136 ms,11618 kB/s
130.162.226.78,443,true,FRA,Europe,Frankfurt,165 ms,11193 kB/s
144.21.32.156,443,true,FRA,Europe,Frankfurt,167 ms,10891 kB/s
130.162.231.49,443,true,FRA,Europe,Frankfurt,171 ms,10806 kB/s
130.61.67.249,443,true,FRA,Europe,Frankfurt,160 ms,10787 kB/s
143.47.186.88,443,true,FRA,Europe,Frankfurt,168 ms,10764 kB/s
130.162.53.170,443,true,FRA,Europe,Frankfurt,177 ms,10756 kB/s
141.144.255.87,443,true,FRA,Europe,Frankfurt,181 ms,10717 kB/s
193.122.14.65,443,true,FRA,Europe,Frankfurt,175 ms,10698 kB/s
141.147.26.224,443,true,FRA,Europe,Frankfurt,217 ms,10629 kB/s
152.70.57.42,443,true,FRA,Europe,Frankfurt,170 ms,10621 kB/s
130.162.211.155,443,true,FRA,Europe,Frankfurt,165 ms,10543 kB/s
152.70.184.239,443,true,FRA,Europe,Frankfurt,181 ms,10533 kB/s
144.21.36.5,443,true,FRA,Europe,Frankfurt,165 ms,10522 kB/s
152.70.172.28,443,true,FRA,Europe,Frankfurt,186 ms,10497 kB/s
152.70.165.189,443,true,FRA,Europe,Frankfurt,195 ms,10481 kB/s
141.148.236.22,443,true,FRA,Europe,Frankfurt,176 ms,10477 kB/s
141.148.236.82,443,true,FRA,Europe,Frankfurt,176 ms,10467 kB/s
138.3.254.194,443,true,FRA,Europe,Frankfurt,172 ms,10423 kB/s
143.47.224.195,443,true,FRA,Europe,Frankfurt,176 ms,10419 kB/s
193.123.35.165,443,true,FRA,Europe,Frankfurt,166 ms,10397 kB/s
158.101.217.146,443,true,FRA,Europe,Frankfurt,186 ms,10392 kB/s
193.123.35.68,443,true,FRA,Europe,Frankfurt,160 ms,10385 kB/s
132.145.54.84,2053,true,LHR,Europe,London,207 ms,10312 kB/s
168.138.185.234,443,true,SIN,Asia Pacific,Singapore,292 ms,10266 kB/s
141.147.69.198,443,true,FRA,Europe,Frankfurt,193 ms,10196 kB/s
140.238.127.8,443,true,FRA,Europe,Frankfurt,173 ms,10126 kB/s
141.147.96.60,443,true,FRA,Europe,Frankfurt,198 ms,10110 kB/s
152.70.48.160,443,true,FRA,Europe,Frankfurt,179 ms,10097 kB/s
130.162.238.227,443,true,FRA,Europe,Frankfurt,174 ms,10090 kB/s
132.145.54.84,8443,true,LHR,Europe,London,193 ms,10090 kB/s
141.148.227.131,443,true,FRA,Europe,Frankfurt,204 ms,10088 kB/s
141.147.29.164,443,true,FRA,Europe,Frankfurt,186 ms,10057 kB/s
141.148.242.89,443,true,FRA,Europe,Frankfurt,175 ms,10008 kB/s
143.47.243.144,8443,true,LHR,Europe,London,192 ms,9985 kB/s
150.230.22.221,443,true,FRA,Europe,Frankfurt,192 ms,9955 kB/s
143.47.243.144,2053,true,LHR,Europe,London,220 ms,9935 kB/s
144.24.185.177,443,true,FRA,Europe,Frankfurt,166 ms,9925 kB/s
141.145.206.16,8443,true,CDG,Europe,Paris,189 ms,9880 kB/s
193.122.54.125,443,true,FRA,Europe,Frankfurt,186 ms,9862 kB/s
152.70.174.170,443,true,FRA,Europe,Frankfurt,191 ms,9859 kB/s
132.226.134.32,443,true,FRA,Europe,Frankfurt,205 ms,9821 kB/s
141.147.72.109,443,true,FRA,Europe,Frankfurt,204 ms,9817 kB/s
143.47.232.244,443,true,FRA,Europe,Frankfurt,175 ms,9802 kB/s
130.61.71.74,443,true,FRA,Europe,Frankfurt,187 ms,9763 kB/s
150.230.119.235,443,true,FRA,Europe,Frankfurt,207 ms,9754 kB/s
152.70.189.253,443,true,FRA,Europe,Frankfurt,195 ms,9753 kB/s
144.24.163.201,443,true,FRA,Europe,Frankfurt,190 ms,9753 kB/s
141.147.74.222,443,true,FRA,Europe,Frankfurt,194 ms,9735 kB/s
152.70.58.95,443,true,FRA,Europe,Frankfurt,169 ms,9718 kB/s
141.147.38.141,443,true,FRA,Europe,Frankfurt,196 ms,9712 kB/s
143.47.183.105,443,true,FRA,Europe,Frankfurt,181 ms,9710 kB/s
143.47.244.251,443,true,FRA,Europe,Frankfurt,179 ms,9678 kB/s
141.148.232.47,443,true,FRA,Europe,Frankfurt,205 ms,9678 kB/s
132.226.208.144,443,true,FRA,Europe,Frankfurt,201 ms,9676 kB/s
141.144.247.131,443,true,FRA,Europe,Frankfurt,200 ms,9661 kB/s
141.147.86.197,443,true,FRA,Europe,Frankfurt,208 ms,9656 kB/s
129.159.255.217,443,true,FRA,Europe,Frankfurt,177 ms,9636 kB/s
192.9.132.79,443,true,SJC,North America,San Jose,165 ms,9624 kB/s
141.147.105.200,443,true,FRA,Europe,Frankfurt,198 ms,9624 kB/s
130.162.238.189,443,true,FRA,Europe,Frankfurt,182 ms,9596 kB/s
130.162.188.243,443,true,FRA,Europe,Frankfurt,179 ms,9573 kB/s
152.67.128.153,443,true,FRA,Europe,Frankfurt,271 ms,9567 kB/s
143.47.247.39,443,true,FRA,Europe,Frankfurt,181 ms,9562 kB/s
130.162.169.154,443,true,FRA,Europe,Frankfurt,182 ms,9507 kB/s
129.159.207.125,443,true,FRA,Europe,Frankfurt,187 ms,9493 kB/s
143.47.184.203,443,true,FRA,Europe,Frankfurt,180 ms,9480 kB/s
141.147.74.20,443,true,LHR,Europe,London,217 ms,9480 kB/s
150.230.127.232,443,true,FRA,Europe,Frankfurt,204 ms,9451 kB/s
152.70.52.77,443,true,FRA,Europe,Frankfurt,164 ms,9450 kB/s
144.24.168.42,443,true,FRA,Europe,Frankfurt,200 ms,9444 kB/s
192.9.246.112,8443,true,SJC,North America,San Jose,188 ms,9383 kB/s
130.162.189.86,443,true,FRA,Europe,Frankfurt,187 ms,9377 kB/s
141.147.70.175,443,true,FRA,Europe,Frankfurt,207 ms,9342 kB/s
158.101.201.218,443,true,FRA,Europe,Frankfurt,190 ms,9236 kB/s
132.226.133.137,443,true,FRA,Europe,Frankfurt,205 ms,9192 kB/s
150.230.115.142,443,true,FRA,Europe,Frankfurt,205 ms,9158 kB/s
140.238.95.215,443,true,FRA,Europe,Frankfurt,173 ms,9146 kB/s
141.147.93.25,443,true,FRA,Europe,Frankfurt,217 ms,9144 kB/s
192.9.159.65,443,true,SJC,North America,San Jose,188 ms,9125 kB/s
152.70.55.131,443,true,FRA,Europe,Frankfurt,191 ms,9118 kB/s
144.21.61.61,443,true,FRA,Europe,Frankfurt,175 ms,9090 kB/s
141.147.117.155,443,true,FRA,Europe,Frankfurt,199 ms,9084 kB/s
143.47.240.239,443,true,FRA,Europe,Frankfurt,197 ms,9039 kB/s
140.238.121.164,443,true,FRA,Europe,Frankfurt,172 ms,9036 kB/s
132.226.131.197,443,true,FRA,Europe,Frankfurt,207 ms,8893 kB/s
144.24.243.207,443,true,FRA,Europe,Frankfurt,184 ms,8853 kB/s
141.147.80.221,443,true,FRA,Europe,Frankfurt,209 ms,8733 kB/s
130.162.182.76,443,true,LHR,Europe,London,196 ms,8713 kB/s
138.2.119.245,443,true,SIN,Asia Pacific,Singapore,136 ms,8707 kB/s
192.18.148.248,443,true,YYZ,North America,Toronto,214 ms,8669 kB/s
141.147.92.143,8443,true,LHR,Europe,London,185 ms,8609 kB/s
141.147.107.123,443,true,FRA,Europe,Frankfurt,201 ms,8565 kB/s
130.162.185.54,443,true,FRA,Europe,Frankfurt,174 ms,8551 kB/s
129.146.242.24,2053,true,LAX,North America,Los Angeles,238 ms,8504 kB/s
138.2.176.156,443,true,FRA,Europe,Frankfurt,229 ms,8453 kB/s
138.2.137.220,443,true,FRA,Europe,Frankfurt,240 ms,8433 kB/s
144.24.169.81,2053,true,FRA,Europe,Frankfurt,259 ms,8330 kB/s
141.144.232.159,443,true,FRA,Europe,Frankfurt,257 ms,8239 kB/s
129.159.83.88,8443,true,IAD,North America,Ashburn,235 ms,8206 kB/s
138.2.171.95,443,true,FRA,Europe,Frankfurt,223 ms,8115 kB/s
141.147.53.92,443,true,FRA,Europe,Frankfurt,186 ms,8096 kB/s
141.148.225.142,443,true,AMS,Europe,Amsterdam,248 ms,8059 kB/s
141.147.51.21,443,true,FRA,Europe,Frankfurt,260 ms,8028 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,235 ms,7988 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,237 ms,7970 kB/s
158.101.175.51,2053,true,FRA,Europe,Frankfurt,255 ms,7844 kB/s
158.101.175.51,8443,true,FRA,Europe,Frankfurt,241 ms,7833 kB/s
138.2.129.183,443,true,FRA,Europe,Frankfurt,246 ms,7826 kB/s
193.122.61.167,443,true,FRA,Europe,Frankfurt,255 ms,7779 kB/s
144.24.169.81,8443,true,FRA,Europe,Frankfurt,231 ms,7771 kB/s
168.138.66.11,443,true,YYZ,North America,Toronto,260 ms,7720 kB/s
47.254.182.83,443,true,FRA,Europe,Frankfurt,246 ms,7677 kB/s
129.80.123.71,443,true,IAD,North America,Ashburn,246 ms,7650 kB/s
129.150.34.198,443,true,SIN,Asia Pacific,Singapore,229 ms,7637 kB/s
158.101.11.22,8443,true,LAX,North America,Los Angeles,223 ms,7627 kB/s
144.24.173.250,2053,true,FRA,Europe,Frankfurt,270 ms,7588 kB/s
130.61.109.6,8443,true,FRA,Europe,Frankfurt,252 ms,7585 kB/s
8.211.40.64,443,true,FRA,Europe,Frankfurt,243 ms,7503 kB/s
8.211.2.130,443,true,FRA,Europe,Frankfurt,228 ms,7448 kB/s
47.254.151.198,443,true,FRA,Europe,Frankfurt,240 ms,7417 kB/s
158.101.215.45,8443,true,AMS,Europe,Amsterdam,227 ms,7398 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,259 ms,7384 kB/s
47.254.153.249,443,true,FRA,Europe,Frankfurt,229 ms,7376 kB/s
8.211.51.193,443,true,FRA,Europe,Frankfurt,234 ms,7375 kB/s
144.24.189.21,443,true,FRA,Europe,Frankfurt,244 ms,7365 kB/s
47.253.86.6,443,true,IAD,North America,Ashburn,237 ms,7342 kB/s
8.211.21.50,443,true,FRA,Europe,Frankfurt,241 ms,7275 kB/s
130.61.203.115,2053,true,FRA,Europe,Frankfurt,252 ms,7248 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,241 ms,7220 kB/s
8.209.90.229,443,true,FRA,Europe,Frankfurt,237 ms,7156 kB/s
8.211.44.129,443,true,FRA,Europe,Frankfurt,256 ms,7050 kB/s
130.61.109.6,2096,true,FRA,Europe,Frankfurt,258 ms,7045 kB/s
8.211.11.212,443,true,FRA,Europe,Frankfurt,248 ms,7044 kB/s
193.123.61.142,2053,true,AMS,Europe,Amsterdam,288 ms,7037 kB/s
138.2.160.252,443,true,FRA,Europe,Frankfurt,269 ms,7017 kB/s
144.24.173.250,8443,true,FRA,Europe,Frankfurt,244 ms,7000 kB/s
130.61.109.6,2053,true,FRA,Europe,Frankfurt,268 ms,6991 kB/s
168.138.212.80,443,true,NRT,Asia Pacific,Tokyo,167 ms,6953 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,254 ms,6939 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,271 ms,6928 kB/s
168.138.71.220,443,true,YYZ,North America,Toronto,261 ms,6870 kB/s
8.211.23.102,443,true,FRA,Europe,Frankfurt,251 ms,6835 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,252 ms,6799 kB/s
152.70.85.165,2083,true,KIX,Asia Pacific,Osaka,299 ms,6783 kB/s
8.209.112.101,443,true,FRA,Europe,Frankfurt,233 ms,6774 kB/s
130.61.203.115,8443,true,FRA,Europe,Frankfurt,241 ms,6722 kB/s
8.209.91.142,443,true,FRA,Europe,Frankfurt,241 ms,6719 kB/s
130.61.239.203,2053,true,FRA,Europe,Frankfurt,269 ms,6717 kB/s
158.180.67.51,443,true,SIN,Asia Pacific,Singapore,139 ms,6714 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,261 ms,6690 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,272 ms,6685 kB/s
193.123.61.142,8443,true,AMS,Europe,Amsterdam,270 ms,6509 kB/s
144.24.69.252,443,true,SIN,Asia Pacific,Singapore,104 ms,6405 kB/s
130.162.180.28,443,true,FRA,Europe,Frankfurt,184 ms,6298 kB/s
141.144.207.72,443,true,FRA,Europe,Frankfurt,209 ms,6245 kB/s
129.159.241.172,443,true,FRA,Europe,Frankfurt,286 ms,6169 kB/s
168.138.40.89,443,true,KIX,Asia Pacific,Osaka,301 ms,6143 kB/s
