IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
[2606:4700:7000::cae9:150c],443,TRUE,LAX,North America,Los Angeles,178 ms,15492 kB/s
[2a06:98c1:3120::7a3b:f679],8443,TRUE,LAS,North America,Las Vegas,171 ms,15163 kB/s
[2a06:98c1:3100::5b4:2bb7],2087,TRUE,LAX,North America,Los Angeles,181 ms,15162 kB/s
[2606:4700:4700::cc45],443,TRUE,LAX,North America,Los Angeles,177 ms,15156 kB/s
[2a06:98c1:50::52:7021],8443,TRUE,LAX,North America,Los Angeles,169 ms,15136 kB/s
[2606:4700:3000::222f],443,TRUE,LAX,North America,Los Angeles,175 ms,15101 kB/s
[2606:4700:304f::ed3d:2025],443,TRUE,LAX,North America,Los Angeles,198 ms,15099 kB/s
[2a06:98c1:58::3b3a:796],443,TRUE,LAX,North America,Los Angeles,177 ms,14924 kB/s
[2606:4700:4400::24e0],443,TRUE,LAX,North America,Los Angeles,172 ms,14898 kB/s
[2400:cb00:2049::5137:2694],443,TRUE,LAX,North America,Los Angeles,178 ms,14859 kB/s
[2a06:98c1:3120::92:d538],443,TRUE,LAS,North America,Las Vegas,181 ms,14846 kB/s
[2606:4700:4700::d7:e8ad],2096,TRUE,LAX,North America,Los Angeles,175 ms,14846 kB/s
[2606:4700:ff00::88:958d],443,TRUE,LAX,North America,Los Angeles,183 ms,14786 kB/s
[2606:4700::f6:aa3b],443,TRUE,LAX,North America,Los Angeles,181 ms,14748 kB/s
[2606:4700:4700::79:d00d],2087,TRUE,LAX,North America,Los Angeles,177 ms,14654 kB/s
[2a06:98c1:3100::534:ccd8],2096,TRUE,LAX,North America,Los Angeles,180 ms,14652 kB/s
[2606:4700:3056::e49b:6d0f],443,TRUE,LAX,North America,Los Angeles,181 ms,14649 kB/s
[2606:4700:ff00::5e2c],2053,TRUE,LAX,North America,Los Angeles,194 ms,14606 kB/s
[2606:4700:304f::6823:fa6d],443,TRUE,LAX,North America,Los Angeles,190 ms,14602 kB/s
[2620:127:f00e::fa9c:13fd],8443,TRUE,LAX,North America,Los Angeles,177 ms,14588 kB/s
[2606:4700:4700::3f:de5d],2096,TRUE,LAX,North America,Los Angeles,176 ms,14586 kB/s
[2606:4700:4400::a45f:3cc5],2087,TRUE,LAX,North America,Los Angeles,180 ms,14583 kB/s
[2606:4700:3055::fc38:1687],443,TRUE,LAX,North America,Los Angeles,194 ms,14575 kB/s
[2620:127:f00e::804f],2096,TRUE,LAX,North America,Los Angeles,175 ms,14558 kB/s
[2620:127:f00e::57:7c90],443,TRUE,LAX,North America,Los Angeles,187 ms,14554 kB/s
[2606:4700:4700::4c02:52a8],443,TRUE,LAX,North America,Los Angeles,180 ms,14552 kB/s
[2606:4700:ff00::c9:ea7f],8443,TRUE,LAX,North America,Los Angeles,177 ms,14523 kB/s
[2606:4700:ff00::6f73:d074],2053,TRUE,LAX,North America,Los Angeles,175 ms,14497 kB/s
[2606:4700:3052::373e:fd42],8443,TRUE,LAX,North America,Los Angeles,177 ms,14495 kB/s
[2a06:98c1:3120::4f:2387],2083,TRUE,LAS,North America,Las Vegas,176 ms,14488 kB/s
[2620:127:f00e::a9e9:49fc],8443,TRUE,LAX,North America,Los Angeles,192 ms,14478 kB/s
[2606:4700:4700::d354:f903],2096,TRUE,LAX,North America,Los Angeles,176 ms,14464 kB/s
[2803:f800:50::94:df8c],443,TRUE,LAX,North America,Los Angeles,188 ms,14463 kB/s
[2803:f800:50::43:9feb],2087,TRUE,LAX,North America,Los Angeles,185 ms,14455 kB/s
[2a06:98c1:58::4279],443,TRUE,LAX,North America,Los Angeles,174 ms,14455 kB/s
[2a06:98c1:3100::5f4:5229],2096,TRUE,LAX,North America,Los Angeles,182 ms,14446 kB/s
[2606:4700:3000::55:1f12],2053,TRUE,LAX,North America,Los Angeles,184 ms,14442 kB/s
[2a06:98c1:3120::b820:65ac],8443,TRUE,LAS,North America,Las Vegas,177 ms,14434 kB/s
[2a06:98c1:3120::f6f1:50ab],2087,TRUE,LAS,North America,Las Vegas,170 ms,14406 kB/s
[2400:cb00:f00e::8506],2083,TRUE,LAX,North America,Los Angeles,178 ms,14404 kB/s
[2606:4700:3000::5c:bcd9],443,TRUE,LAX,North America,Los Angeles,185 ms,14396 kB/s
[2400:cb00:2049::b7be],8443,TRUE,LAX,North America,Los Angeles,182 ms,14387 kB/s
[2a06:98c1:58::3a:81f9],2096,TRUE,LAX,North America,Los Angeles,184 ms,14325 kB/s
[2606:4700:7000::5c2b:436a],443,TRUE,LAX,North America,Los Angeles,188 ms,14320 kB/s
[2400:cb00:2049::71:2f59],2087,TRUE,LAX,North America,Los Angeles,183 ms,14315 kB/s
[2400:cb00:2049::da54:3c23],443,TRUE,LAX,North America,Los Angeles,192 ms,14280 kB/s
[2400:cb00:2049::e641:9f5a],2096,TRUE,LAX,North America,Los Angeles,192 ms,14271 kB/s
[2a06:98c1:3100::457e:52f6],2087,TRUE,LAX,North America,Los Angeles,178 ms,14267 kB/s
[2606:4700:3052::215d],8443,TRUE,LAX,North America,Los Angeles,183 ms,14261 kB/s
[2606:4700:3108::ae62],2053,TRUE,LAX,North America,Los Angeles,188 ms,14247 kB/s
[2a06:98c1:50::5bb3:c376],2083,TRUE,LAX,North America,Los Angeles,175 ms,14242 kB/s
[2606:4700:7000::b201],8443,TRUE,LAX,North America,Los Angeles,180 ms,14240 kB/s
[2a06:98c1:3100::65ea:996f],443,TRUE,LAX,North America,Los Angeles,200 ms,14237 kB/s
[2400:cb00:f00e::f296:a486],2053,TRUE,LAX,North America,Los Angeles,188 ms,14199 kB/s
[2606:4700:3108::31fc:f181],2087,TRUE,LAX,North America,Los Angeles,185 ms,14192 kB/s
[2620:127:f00e::65:a559],2087,TRUE,LAX,North America,Los Angeles,179 ms,14191 kB/s
[2606:4700:3000::df1b:ea61],8443,TRUE,LAX,North America,Los Angeles,182 ms,14181 kB/s
[2606:4700:ff00::4d:751],2096,TRUE,LAX,North America,Los Angeles,180 ms,14172 kB/s
[2a06:98c1:50::ee9],443,TRUE,LAX,North America,Los Angeles,194 ms,14172 kB/s
[2606:4700:3108::598f],8443,TRUE,LAX,North America,Los Angeles,186 ms,14171 kB/s
[2606:4700:3052::6374:81ee],2087,TRUE,LAX,North America,Los Angeles,187 ms,14171 kB/s
[2606:4700:3108::31d2:20f2],2087,TRUE,LAX,North America,Los Angeles,184 ms,14162 kB/s
[2606:4700:3108::57a7],2096,TRUE,LAX,North America,Los Angeles,178 ms,14161 kB/s
[2620:127:f00e::e171:33f3],2053,TRUE,LAX,North America,Los Angeles,184 ms,14153 kB/s
[2606:4700:7000::c015:2544],2083,TRUE,LAX,North America,Los Angeles,187 ms,14148 kB/s
[2606:4700:7000::a511:1e41],443,TRUE,LAX,North America,Los Angeles,193 ms,14147 kB/s
[2606:4700:3000::ce:b170],2087,TRUE,LAX,North America,Los Angeles,203 ms,14131 kB/s
[2606:4700::2719:40be],8443,TRUE,LAX,North America,Los Angeles,177 ms,14130 kB/s
